"Botanical.Name","ht.max","dbh","cw"
"Carya illinoinensis",22.8,71.9380492438229,NA
"Carya illinoinensis",23.59,105.042284294078,NA
"Quercus stellata",21.61,109.816933580172,NA
"Quercus stellata",23.59,101.859184770015,NA
"Quercus stellata",26,105.997214151297,NA
"Pinus echinata",30.97,51.8845222422262,NA
"Quercus falcata",24.08,NA,NA
"Quercus falcata",27.31,98.6760852459517,NA
"Quercus nigra",24.29,32.4676151454422,NA
"Quercus alba",30.42,55.0676217662892,NA
"Quercus alba",30.91,66.2084701005095,NA
"Quercus alba",32.1,69.3915696245725,NA
"Quercus phellos",26.67,144.831028344865,NA
"Quercus phellos",32.8,155.335256774272,NA
"Ulmus alata",18.04,37.2422644315366,NA
"Quercus marilandica",12.65,33.4225450026611,NA
"Cercis canadensis var. canadensis",12.13,30.8760653834107,NA
"Juniperus virginiana",16,52.2028321946325,NA
"Juniperus virginiana",16.52,48.383112765757,NA
"Quercus stellata",16.28,53.4760720042577,NA
"Magnolia grandiflora",16.12,63.9803004336655,NA
"Celtis laevigata var. laevigata",17.13,44.5633933368814,NA
"Quercus similis",22.98,99.3127051507643,NA
"Quercus pagoda",NA,110.771863437391,NA
"Styphnolobium affine",9.6,17.8253573347526,NA
"Carya myristiciformis",30.39,68.7549497197599,NA
"Maclura pomifera",17.47,26.7380360021289,NA
"Carpinus caroliniana",17.65,21.0084568588155,NA
"Platanus occidentalis",35.48,47.7464928609444,NA
"Carya cordiformis",33.19,62.388750671634,NA
"Prunus serotina",29.75,35.6507146695051,NA
"Quercus marilandica",21.4,36.2873345743177,NA
"Tilia americana var. caroliniana",32.64,67.1633999577284,NA
"Quercus pagoda",38.25,94.5380558646699,NA
"Quercus pagoda",38.28,113.318343056641,NA
"Quercus muehlenbergii",29.99,67.1633999577284,NA
"Gleditsia triacanthos",32.34,64.6169203384781,NA
"Ostrya virginiana",19.39,16.8704274775337,NA
"Ostrya virginiana",19.93,30.8760653834107,NA
"Quercus x",40.05,NA,NA
"Pinus taeda",33.5,102.814114627234,NA
"Pinus taeda",36.06,66.2084701005095,NA
"Pinus taeda",37.73,67.1633999577284,NA
"Pinus taeda",38.31,75.1211487678858,NA
"Carya tomentosa",33.13,43.6084634796625,NA
"Quercus stellata",29.66,65.571850195697,NA
"Sassafras albidum",28.16,38.8338141935681,NA
"Carya ovata",36.3,76.0760786251047,NA
"Carya ovata",36.39,87.2169269593251,NA
"Carya ovata",37.22,77.6676283871362,NA
"Pinus echinata",32.58,71.3014293390103,NA
"Pinus echinata",35.23,59.8422710523836,NA
"Pinus echinata",35.27,46.7915630037255,NA
"Pinus echinata",37.58,66.2084701005095,NA
"Quercus shumardii",37.09,64.6169203384781,NA
"Quercus shumardii",38.22,111.72679329461,NA
"Quercus falcata",34.93,85.6253771972936,NA
"Quercus michauxii",36.73,75.1211487678858,NA
"Liquidambar styraciflua",37.09,58.8873411951647,NA
"Quercus nigra",33.71,55.7042416711018,NA
"Quercus nigra",35.66,78.3042482919488,NA
"Quercus alba",35.81,81.805657768418,NA
"Quercus alba",36.15,50.9295923850073,NA
"Quercus alba",37.49,46.7915630037255,NA
"Ulmus alata",26.79,63.9803004336655,NA
"Ulmus alata",27.71,40.4253639555996,NA
"Ulmus alata",29.99,56.6591715283207,NA
"Quercus arkansana",15.54,23.5549364780659,NA
"Quercus arkansana",16.06,21.9633867160344,NA
"Quercus incana",13.32,20.3718369540029,NA
"Castanea pumila",10.12,16.2338075727211,NA
"Pinus taeda",38.53,71.3014293390103,NA
"Magnolia virginiana",20.91,46.7915630037255,NA
"Magnolia virginiana",22.34,40.4253639555996,NA
"Taxodium distichum",32,208.493018826124,NA
"Gleditsia triacanthos",29.57,127.642290914925,19.51
"Quercus michauxii",34.14,177.935263395119,32.31
"Gleditsia aquatica",NA,152.152157250209,NA
"Gleditsia aquatica",NA,192.577521205809,NA
"Morus rubra",10.52,84.0338274352621,NA
"Quercus phellos",24.6,127.642290914925,NA
"Quercus phellos",27.98,171.250754394587,NA
"Crataegus brachyacantha",8.75,28.3295857641603,NA
"Crataegus brachyacantha",9.27,29.9211355261918,NA
"Crataegus brachyacantha",11.46,28.3295857641603,NA
"Quercus similis",25.12,81.805657768418,NA
"Crataegus viridis",10.15,21.9633867160344,NA
"Crataegus viridis",11.03,17.8253573347526,NA
"Ilex decidua",12.56,19.4169070967841,NA
"Crataegus opaca",6.86,25.1464862400974,NA
"Quercus emoryi",10.12,48.0648028133507,NA
"Quercus emoryi",10.67,60.1605810047899,18.75
"Quercus emoryi",12.65,50.6112824326011,NA
"Agave chrysantha",4.21,NA,NA
"Pinus edulis",9.91,48.383112765757,NA
"Pinus edulis",10.15,34.6957848122863,NA
"Pinus edulis",10.27,28.3295857641603,NA
"Pinus edulis",11.22,33.1042350502548,NA
"Juniperus osteosperma",7.62,31.5126852882233,NA
"Juniperus osteosperma",9.2,44.5633933368814,NA
"Picea engelmannii",23.9,69.7098795769788,NA
"Populus tremuloides",24.02,30.8760653834107,NA
"Populus tremuloides",24.63,54.4310018614766,NA
"Populus tremuloides",24.9,50.2929724801947,NA
"Populus tremuloides",25.27,57.6141013855396,NA
"Populus tremuloides",27.16,42.9718435748499,NA
"Populus tremuloides",28.22,52.2028321946325,NA
"Populus tremuloides",29.17,48.0648028133507,NA
"Populus tremuloides",30.42,56.6591715283207,NA
"Pseudotsuga menziesii var. glauca",28.5,127.642290914925,NA
"Pseudotsuga menziesii var. glauca",30.33,131.780320296206,NA
"Pseudotsuga menziesii var. glauca",34.47,164.247935441649,NA
"Pseudotsuga menziesii var. glauca",37,163.29300558443,NA
"Pinus strobiformis var. reflexa",22.46,78.9408681967614,NA
"Pinus strobiformis var. reflexa",25.39,112.363413199422,NA
"Pinus strobiformis var. reflexa",28.41,81.805657768418,NA
"Pinus strobiformis var. reflexa",33.13,102.814114627234,NA
"Abies concolor",27.4,50.9295923850073,NA
"Acer grandidentatum var. grandidentatum",16.67,25.78310614491,NA
"Abies lasiocarpa var. arizonica",37.49,93.2648160550447,NA
"Quercus gambelii var. gambelii",19.42,62.388750671634,NA
"Pinus ponderosa var. brachyptera",29.32,69.3915696245725,NA
"Pinus ponderosa var. brachyptera",36.94,101.859184770015,NA
"Pinus ponderosa var. brachyptera",41.88,93.2648160550447,NA
"Pinus ponderosa var. brachyptera",42.34,97.0845354839202,NA
"Populus tremuloides",28.53,63.9803004336655,NA
"Pseudotsuga menziesii var. glauca",38.1,91.3549563406069,NA
"Pinus strobiformis var. reflexa",35.02,121.276091866799,NA
"Pinus ponderosa var. brachyptera",22.01,74.1662189106669,NA
"Pinus ponderosa var. brachyptera",22.37,89.1267866737629,NA
"Pinus ponderosa var. brachyptera",23.59,88.171856816544,NA
"Pinus ponderosa var. brachyptera",24.11,85.6253771972936,NA
"Pinus ponderosa var. brachyptera",25.42,100.585944960389,NA
"Pinus ponderosa var. brachyptera",25.57,117.138062485517,NA
